NIST Atomic Spectra Database Lines Data
Ar : 5397 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 35000 

Query NIST Bibliographic Databases for 
Ar (new window) 
Ar Energy Levels  
Ar Line Wavelengths and Classification  
Ar Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |      Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                  |        Terms       |   Ji   Jk   | gi   gk |Type|                  TP  |           Line  |
          |          Wavelength |          Wavelength |      Int. |    s^-1   |      |               (eV)         (eV)               |                                                |                    |             |         |    |                 Ref. |           Ref.  |
          |           Vac (nm)  |           Vac (nm)  |      (?)  |           |      |                                               |                                                |                    |             |         |    |                      |                 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ar XVI    |                     |         0.34252     |           |           |      |      35.0383          -     3654.856          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2S      |  3/2 - 1/2  |  4 - 2  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.34271     |           |           |      |      31.8672          -     3649.623          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 4S      |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34271     |           |           |      |      31.8672          -     3649.623          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2D      |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34278     |           |           |      |      35.0383          -     3652.054          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2D      |  3/2 - 5/2  |  4 - 6  |    |                      |                 |
Ar XVI    |                     |         0.34301     |           |           |      |      35.0383          -     3649.623          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 4S      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34301     |           |           |      |      35.0383          -     3649.623          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2D      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.34359     |           |           |      |      35.0383          -     3643.536          |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 4D      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34365     |           |           |      |      35.0383          -     3642.90           |                1s2.2p - 1s.2p.(3P*).3p         |      2P* - 2P      |  3/2 - 3/2  |  4 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34437     |           |           |      |      31.8672          -     3632.204          |                1s2.2p - 1s.2s.(1S).3s          |      2P* - 2S      |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVI    |                     |         0.34438     |           |           |      |      31.8672          -     3632.080          |                1s2.2p - 1s.2s.(3S).3d          |      2P* - 2D      |  1/2 - 3/2  |  2 - 4  |    |                      |                 |
Ar XVI    |                     |         0.34467     |           |           |      |      35.0383          -     3632.204          |                1s2.2p - 1s.2s.(1S).3s          |      2P* - 2S      |  3/2 - 1/2  |  4 - 2  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.34468     |           |           |      |      35.0383          -     3632.12           |                1s2.2p - 1s.2s.(3S).3d          |      2P* - 2D      |  3/2 - 5/2  |  4 - 6  |    |                      |                 |
Ar XVI    |                     |         0.34579     |           |           |      |      31.8672          -     3617.375          |                1s2.2p - 1s.2s.(3S).3s          |      2P* - 2S      |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVI    |                     |         0.34610     |           |           |      |      35.0383          -     3617.375          |                1s2.2p - 1s.2s.(3S).3s          |      2P* - 2S      |  3/2 - 1/2  |  4 - 2  |    |                      |                 |
Ar XVII   |                     |         0.372348    |           |           |      |   (3123.5345)         -    (6453.328)         |                 1s.2p - 2p2                    |      3P* - 1S      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVIII  |         0.3731105   |         0.37311012  |        13 |           |      |       0.000           -    (3322.9919)        |                    1s - 2p                     |      2S  - 2P*     |  1/2 - 3/2  |  2 - 4  |    |                      |          L7290  |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.373238    |           |           |      |   (3104.1484)         -    (6426.001)         |                 1s.2s - 2s.2p                  |      3S  - 1P*     |    1 - 1    |  3 - 3  |    |                      |                 |
Ar XVIII  |         0.3736522   |         0.37365164  |         7 |           |      |       0.000           -    (3318.1760)        |                    1s - 2p                     |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                      |          L7290  |
Ar XVII   |                     |         0.374151    |           |           |      |   (3139.5822)         -    (6453.328)         |                 1s.2p - 2p2                    |      1P* - 1S      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |                     |         0.375370    |           |           |      |   (3123.5345)         -    (6426.522)         |                 1s.2p - 2p2                    |      3P* - 1D      |    1 - 2    |  3 - 5  |    |                      |                 |
Ar XVII   |                     |         0.375541    |           |           |      |   (3124.5208)         -    (6426.001)         |                 1s.2s - 2s.2p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.375683    |           |           |      |   (3126.2896)         -    (6426.522)         |                 1s.2p - 2p2                    |      3P* - 1D      |    2 - 2    |  5 - 5  |    |                      |                 |
Ar XVII   |                     |         0.376140    |           |           |      |   (3104.1484)         -    (6400.374)         |                 1s.2s - 2s.2p                  |      3S  - 3P*     |    1 - 2    |  3 - 5  |    |                      |                 |
Ar XVII   |                     |         0.376367    |           |           |      |   (3123.5345)         -    (6417.769)         |                 1s.2p - 2p2                    |      3P* - 3P      |    1 - 2    |  3 - 5  |    |                      |                 |
Ar XVII   |                     |         0.376507    |           |           |      |   (3104.1484)         -    (6397.163)         |                 1s.2s - 2s.2p                  |      3S  - 3P*     |    1 - 1    |  3 - 3  |    |                      |                 |
Ar XVII   |                     |         0.376560    |           |           |      |   (3122.8896)         -    (6415.44)          |                 1s.2p - 2p2                    |      3P* - 3P      |    0 - 1    |  1 - 3  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.376634    |           |           |      |   (3123.5345)         -    (6415.44)          |                 1s.2p - 2p2                    |      3P* - 3P      |    1 - 1    |  3 - 3  |    |                      |                 |
Ar XVII   |                     |         0.376657    |           |           |      |   (3104.1484)         -    (6395.85)          |                 1s.2s - 2s.2p                  |      3S  - 3P*     |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |                     |         0.376682    |           |           |      |   (3126.2896)         -    (6417.769)         |                 1s.2p - 2p2                    |      3P* - 3P      |    2 - 2    |  5 - 5  |    |                      |                 |
Ar XVII   |                     |         0.376831    |           |           |      |   (3123.5345)         -    (6413.715)         |                 1s.2p - 2p2                    |      3P* - 3P      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |                     |         0.376949    |           |           |      |   (3126.2896)         -    (6415.44)          |                 1s.2p - 2p2                    |      3P* - 3P      |    2 - 1    |  5 - 3  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.377202    |           |           |      |   (3139.5822)         -    (6426.522)         |                 1s.2p - 2p2                    |      1P* - 1D      |    1 - 2    |  3 - 5  |    |                      |                 |
Ar XVII   |                     |         0.378210    |           |           |      |   (3139.5822)         -    (6417.769)         |                 1s.2p - 2p2                    |      1P* - 3P      |    1 - 2    |  3 - 5  |    |                      |                 |
Ar XVII   |                     |         0.378479    |           |           |      |   (3139.5822)         -    (6415.44)          |                 1s.2p - 2p2                    |      1P* - 3P      |    1 - 1    |  3 - 3  |    |                      |                 |
Ar XVII   |                     |         0.378678    |           |           |      |   (3139.5822)         -    (6413.715)         |                 1s.2p - 2p2                    |      1P* - 3P      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |                     |         0.378850    |           |           |      |   (3124.5208)         -    (6397.163)         |                 1s.2s - 2s.2p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                      |                 |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVII   |                     |         0.379334    |           |           |      |   (3123.5345)         -    (6392.00)          |                 1s.2p - 2s2                    |      3P* - 1S      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |                     |         0.381206    |           |           |      |   (3139.5822)         -    (6392.00)          |                 1s.2p - 2s2                    |      1P* - 1S      |    1 - 0    |  3 - 1  |    |                      |                 |
Ar XVII   |         0.3949065   |         0.39490665  |       100 |           |      |       0.000           -    (3139.5822)        |                   1s2 - 1s.2p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                      |         L12339  |
Ar XVI    |                     |         0.396159    |           |           |      |      31.8672          -     3161.522          |                1s2.2p - 1s.2p2                 |      2P* - 2S      |  1/2 - 1/2  |  2 - 2  |    |                      |                 |
Ar XVII   |         0.3963      |         0.39693556  |        55 |           |      |       0.000           -    (3123.5345)        |                   1s2 - 1s.2p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                      |          L1845  |
          |                     |                     |           |           |      |                                               |                                                |                    |             |         |    |                      |                 |
Ar XVI    |                     |         0.396561    |           |           |      |      35.0383          -     3161.522          |                1s2.2p - 1s.2p2                 |      2P* - 2S      |  3/2 - 1/2  |  4 - 2  |    |                      |                 |
Ar XVII   |                     |         0.39658575  |           |           |      |       0.000           -    (3126.2896)        |                   1s2 - 1s.2p                  |      1S  - 3P*     |    0 - 2    |  1 - 5  | M2 |                      |                 |
