NIST Atomic Spectra Database Lines Data
Co : 2405 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 21000 

Query NIST Bibliographic Databases for 
Co (new window) 
Co Energy Levels  
Co Line Wavelengths and Classification  
Co Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |                   Configurations                    |      Terms      |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                                     |                 |             |         |    |        Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                                     |                 |             |         |    |             |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Co XXVI   |                   |        0.16603    |        | 3.2e+14   | C    |   [7173.4004]      -    [14640.80]       |                    1s.2s - 2s.2p                    |    3S  - 3P*    |    1 - 1    |  3 - 3  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16608    |        | 3.2e+14   | C    |   [7223.4652]      -    [14688.90]       |                    1s.2p - 2p2                      |    3P* - 3P     |    2 - 2    |  5 - 5  |    |       T3506 |  L11926  |
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVI   |                   |        0.16611    |        | 6.0e+14   | C    |   [7205.9215]      -    [14670.06]       |                    1s.2p - 2p2                      |    3P* - 3P     |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16615    |        | 3.3e+14   | C    |   [7173.4004]      -    [14635.59]       |                    1s.2s - 2s.2p                    |    3S  - 3P*    |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16623    |        | 2.8e+14   | C    |   [7223.4652]      -    [14681.96]       |                    1s.2p - 2p2                      |    3P* - 3P     |    2 - 1    |  5 - 3  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16649    |        | 1.3e+14   | C    |   [7242.0939]      -    [14688.90]       |                    1s.2p - 2p2                      |    1P* - 3P     |    1 - 2    |  3 - 5  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16665    |        | 1.6e+13   | D    |   [7242.0939]      -    [14681.96]       |                    1s.2p - 2p2                      |    1P* - 3P     |    1 - 1    |  3 - 3  |    |       T3506 |  L11926  |
          |                   |                   |        |           |      |                                          |                                                     |                 |             |         |    |             |          |
Co XXVI   |                   |        0.16677    |        | 1.5e+13   | D    |   [7206.296]       -    [14640.80]       |                    1s.2s - 2s.2p                    |    1S  - 3P*    |    0 - 1    |  1 - 3  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16692    |        | 1.0e+13   | D    |   [7242.0939]      -    [14670.06]       |                    1s.2p - 2p2                      |    1P* - 3P     |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Co XXVI   |                   |        0.16697    |        | 6.4e+13   | D    |   [7205.9215]      -    [14631.62]       |                    1s.2p - 2s2                      |    3P* - 1S     |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
