NIST Atomic Spectra Database Lines Data
Cd : 353 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2000 

Query NIST Bibliographic Databases for 
Cd (new window) 
Cd Energy Levels  
Cd Line Wavelengths and Classification  
Cd Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed  |       Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |     Configurations       |    Terms   |  Ji   Jk    | gi   gk |Type|    TP  |      Line  |
          |    Wavelength |    Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |                          |            |             |         |    |   Ref. |      Ref.  |
          |     Vac (nm)  |     Vac (nm)  |  (?)  |           |      |                                   |                          |            |             |         |    |        |            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cd III    |     68.458    |               |    15 |           |      |                                   |                          |            |             |         |    |        |     L3540  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd III    |     72.070    |               |    10 |           |      |                                   |                          |            |             |         |    |        |     L3540  |
Cd IV     |    106.223    |               |    20 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    111.816    |               |   150 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    112.600    |               |    30 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    113.408    |               |    20 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
          |               |               |       |           |      |                                   |                          |            |             |         |    |        |            |
Cd IV     |    113.904    |               |    15 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    115.464    |               |    20 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    115.573    |               |    10 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
Cd IV     |    116.465    |               |   100 |           |      |                                   |                          |            |             |         |    |        |     L3283  |
