NIST Atomic Spectra Database Lines Data
F : 590 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 50000 

Query NIST Bibliographic Databases for 
F (new window) 
F Energy Levels  
F Line Wavelengths and Classification  
F Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |        Observed  |          Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek             |           Configurations            |    Terms   |  Ji   Jk  | gi   gk |Type|               TP  |   Line  |
          |       Wavelength |       Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |                                     |            |           |         |    |              Ref. |   Ref.  |
          |        Vac (nm)  |        Vac (nm)  |  (?)  |           |      |                                         |                                     |            |           |         |    |                   |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
F V       |         16.356   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         16.598   |                  |    90 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F V       |         16.618   |                  |   100 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         16.979   |                  |    30 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         16.984   |                  |    30 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         17.107   |                  |    30 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         17.470   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F IV      |         17.637   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         17.843   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         17.859   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         18.152   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         18.157   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F V       |         18.298   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         18.672   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         18.679   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         18.684   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         18.697   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F V       |         18.701   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         18.724   |                  |    30 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         19.057   |                  |    60 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         19.084   |                  |    70 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F V       |         19.197   |                  |    40 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
F IV      |         19.639   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         19.645   |                  |    60 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         19.976   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         19.980   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
F IV      |         19.985   |                  |    50 |           |      |                                         |                                     |            |           |         |    |                   |  L3494  |
          |                  |                  |       |           |      |                                         |                                     |            |           |         |    |                   |         |
