NIST Atomic Spectra Database Lines Data
Ge : 420 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 2600 

Query NIST Bibliographic Databases for 
Ge (new window) 
Ge Energy Levels  
Ge Line Wavelengths and Classification  
Ge Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |                 |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |  (?)  |           |      |                     |                 |            |           |         |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |    104.571   |              |   900 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |    105.005   |              |   400 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |    105.459   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge II     |    105.5026  |              |    20 | 6.9e+07   |      |                     |                 |            | 1/2 - 1/2 |  2 - 2  |    |  T3464 |  L3460  |
Ge III    |    105.891   |              |    12 |           |      |                     |                 |            |           |         |    |        |  L3302  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |    106.843   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |    106.913   |              |   400 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |    107.266   |              |   700 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge IV     |    107.344   |              |     1 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge II     |    107.5072  |              |   100 | 1.3e+08   |      |                     |                 |            | 3/2 - 1/2 |  4 - 2  |    |  T3464 |  L3460  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge II     |    108.551   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3335  |
Ge V      |    108.665   |              |   600 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge V      |    108.785   |              |   500 |           |      |                     |                 |            |           |         |    |        |  L3608  |
Ge III    |    108.845   |              |    40 |           |      |                     |                 |            |           |         |    |        |  L3302  |
Ge V      |    108.949   |              |   800 |           |      |                     |                 |            |           |         |    |        |  L3608  |
          |              |              |       |           |      |                     |                 |            |           |         |    |        |         |
Ge V      |    109.209   |              |   300 |           |      |                     |                 |            |           |         |    |        |  L3608  |
