NIST Atomic Spectra Database Lines Data
N : 4670 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1000 

Query NIST Bibliographic Databases for 
N (new window) 
N Energy Levels  
N Line Wavelengths and Classification  
N Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek             |               Configurations                |    Terms   |  Ji   Jk   | gi   gk |Type|            TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |                                             |            |            |         |    |           Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                         |                                             |            |            |         |    |                |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
N VII     |                   |          8.36767  |       | 1.235e+10 | AA   |   [500.355822]     -    [648.526269]    |                   2p - 6d                   |  2P* - 2D  | 3/2 - 5/2  |  4 - 6  |    | T6492,T8146,LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          8.36775  |       | 2.058e+09 | AA   |   [500.355822]     -    [648.524923]    |                   2p - 6d                   |  2P* - 2D  | 3/2 - 3/2  |  4 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          8.36797  |       | 1.176e+09 | AA   |   [500.355822]     -    [648.521100]    |                   2p - 6s                   |  2P* - 2S  | 3/2 - 1/2  |  4 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          8.84790  |       | 1.890e+10 | AA   |   [500.246676]     -    [640.375092]    |                   2p - 5d                   |  2P* - 2D  | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          8.84825  |       | 1.189e+10 | AA   |   [500.252306]     -    [640.375103]    |                   2s - 5p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          8.84831  |       | 1.033e+09 | AA   |   [500.246676]     -    [640.368485]    |                   2p - 5s                   |  2P* - 2S  | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          8.84869  |       | 1.189e+10 | AA   |   [500.252306]     -    [640.368119]    |                   2s - 5p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          8.85465  |       | 2.262e+10 | AA   |   [500.355822]     -    [640.377418]    |                   2p - 5d                   |  2P* - 2D  | 3/2 - 5/2  |  4 - 6  |    | T6492,T8146,LS |         |
N VII     |                   |          8.85479  |       | 3.771e+09 | AA   |   [500.355822]     -    [640.375092]    |                   2p - 5d                   |  2P* - 2D  | 3/2 - 3/2  |  4 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          8.85521  |       | 2.062e+09 | AA   |   [500.355822]     -    [640.368485]    |                   2p - 5s                   |  2P* - 2S  | 3/2 - 1/2  |  4 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          9.90882  |       | 4.136e+10 | AA   |   [500.246676]     -    [625.371776]    |                   2p - 4d                   |  2P* - 2D  | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          9.90926  |       | 2.323e+10 | AA   |   [500.252306]     -    [625.371800]    |                   2s - 4p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |          9.90984  |       | 2.068e+09 | AA   |   [500.246676]     -    [625.358871]    |                   2p - 4s                   |  2P* - 2S  | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          9.91034  |       | 2.322e+10 | AA   |   [500.252306]     -    [625.358157]    |                   2s - 4p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |          9.91711  |       | 4.951e+10 | AA   |   [500.355822]     -    [625.376319]    |                   2p - 4d                   |  2P* - 2D  | 3/2 - 5/2  |  4 - 6  |    | T6492,T8146,LS |         |
N VII     |                   |          9.91747  |       | 8.250e+09 | AA   |   [500.355822]     -    [625.371776]    |                   2p - 4d                   |  2P* - 2D  | 3/2 - 3/2  |  4 - 4  |    | T6492,T8146,LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |          9.91849  |       | 4.125e+09 | AA   |   [500.355822]     -    [625.358871]    |                   2p - 4s                   |  2P* - 2S  | 3/2 - 1/2  |  4 - 2  |    | T6492,T8146,LS |         |
N VI      |                   |         10.4884   |       | 1.58e+09  | A    |    426.4156        -     544.6266       |                1s.2s - 1s.8p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5231 |         |
N VI      |                   |         10.7151   |       | 2.31e+09  | A    |    426.4156        -     542.1258       |                1s.2s - 1s.7p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5231 |         |
N VI      |                   |         11.0618   |       | 3.642e+09 | AA   |    426.4156        -     538.4993       |                1s.2s - 1s.6p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
N VI      |                   |         11.6711   |       | 6.275e+09 | AA   |    426.4156        -     532.6472       |                1s.2s - 1s.5p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |         11.6786   |       | 7.460e+09 | AA   |    426.2953        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   0 - 1    |  1 - 3  |    |        T5997LS |         |
N VI      |                   |         11.6788   |       | 5.594e+09 | AA   |    426.2973        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   1 - 1    |  3 - 3  |    |        T5997LS |         |
N VI      |                   |         11.6788   |       | 1.007e+10 | AA   |    426.2973        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   1 - 2    |  3 - 5  |    |        T5997LS |         |
N VI      |                   |         11.6828   |       | 1.341e+10 | AA   |    426.3333        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   2 - 3    |  5 - 7  |    |        T5997LS |         |
N VI      |                   |         11.6828   |       | 3.726e+08 | AA   |    426.3333        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   2 - 1    |  5 - 3  |    |        T5997LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |         11.6828   |       | 3.353e+09 | AA   |    426.3333        -     532.4588       |                1s.2p - 1s.5d                |  3P* - 3D  |   2 - 2    |  5 - 5  |    |        T5997LS |         |
N VI      |                   |         11.7392   |       | 2.754e+08 | AA   |    426.2953        -     531.9108       |                1s.2p - 1s.5s                |  3P* - 3S  |   0 - 1    |  1 - 3  |    |        T5997LS |         |
N VI      |                   |         11.7394   |       | 8.262e+08 | AA   |    426.2973        -     531.9108       |                1s.2p - 1s.5s                |  3P* - 3S  |   1 - 1    |  3 - 3  |    |        T5997LS |         |
N VI      |                   |         11.7434   |       | 1.376e+09 | AA   |    426.3333        -     531.9108       |                1s.2p - 1s.5s                |  3P* - 3S  |   2 - 1    |  5 - 3  |    |        T5997LS |         |
N VI      |                   |         12.1820   |       | 1.163e+10 | AA   |    430.6950        -     532.4712       |                1s.2p - 1s.5d                |  1P* - 1D  |   1 - 2    |  3 - 5  |    |          T5997 |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |         12.2066   |       | 2.259e+09 | AA   |    430.6950        -     532.2666       |                1s.2p - 1s.5s                |  1P* - 1S  |   1 - 0    |  3 - 1  |    |          T5997 |         |
N VI      |                   |         13.0287   |       | 1.207e+10 | AA   |    426.4156        -     521.5779       |                1s.2s - 1s.4p                |  1S  - 1P* |   0 - 1    |  1 - 3  |    |          T5997 |         |
N VI      |                   |         13.0290   |       | 1.611e+10 | AA   |    426.2953        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   0 - 1    |  1 - 3  |    |        T5997LS |         |
N VI      |                   |         13.0293   |       | 2.175e+10 | AA   |    426.2973        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   1 - 2    |  3 - 5  |    |        T5997LS |         |
N VI      |                   |         13.0293   |       | 1.209e+10 | AA   |    426.2973        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   1 - 1    |  3 - 3  |    |        T5997LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |         13.0342   |       | 2.897e+10 | AA   |    426.3333        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   2 - 3    |  5 - 7  |    |        T5997LS |         |
N VI      |                   |         13.0342   |       | 7.243e+09 | AA   |    426.3333        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   2 - 2    |  5 - 5  |    |        T5997LS |         |
N VI      |                   |         13.0342   |       | 8.048e+08 | AA   |    426.3333        -     521.4552       |                1s.2p - 1s.4d                |  3P* - 3D  |   2 - 1    |  5 - 3  |    |        T5997LS |         |
N V       |                   |         13.1248   |       | 3.88e+08  | B    |      0.00          -     [94.46582]     |               1s2.2s - 1s2.10p              |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |        T3225LS |         |
N V       |                   |         13.1248   |       | 3.88e+08  | B    |      0.00          -     [94.46558]     |               1s2.2s - 1s2.10p              |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |        T3225LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VI      |                   |         13.1840   |       | 5.600e+08 | AA   |    426.2953        -     520.337        |                1s.2p - 1s.4s                |  3P* - 3S  |   0 - 1    |  1 - 3  |    |        T5997LS |         |
N VI      |                   |         13.1843   |       | 1.680e+09 | AA   |    426.2973        -     520.337        |                1s.2p - 1s.4s                |  3P* - 3S  |   1 - 1    |  3 - 3  |    |        T5997LS |         |
N VI      |                   |         13.1893   |       | 2.797e+09 | AA   |    426.3333        -     520.337        |                1s.2p - 1s.4s                |  3P* - 3S  |   2 - 1    |  5 - 3  |    |        T5997LS |         |
N V       |                   |         13.2378   |       | 5.31e+08  | B    |      0.00          -     [93.65943]     |               1s2.2s - 1s2.9p               |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    |        T3225LS |         |
N V       |                   |         13.2378   |       | 5.31e+08  | B    |      0.00          -     [93.65908]     |               1s2.2s - 1s2.9p               |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    |        T3225LS |         |
          |                   |                   |       |           |      |                                         |                                             |            |            |         |    |                |         |
N VII     |                   |         13.37323  |       | 1.297e+11 | AA   |   [500.246676]     -    [592.957419]    |                   2p - 3d                   |  2P* - 2D  | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |         13.37403  |       | 5.394e+10 | AA   |   [500.252306]     -    [592.957474]    |                   2s - 3p                   |  2S  - 2P* | 1/2 - 3/2  |  2 - 4  |    | T6492,T8146,LS |         |
N VII     |                   |         13.37764  |       | 5.067e+09 | AA   |   [500.246676]     -    [592.926820]    |                   2p - 3s                   |  2P* - 2S  | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
N VII     |                   |         13.37870  |       | 5.389e+10 | AA   |   [500.252306]     -    [592.925132]    |                   2s - 3p                   |  2S  - 2P* | 1/2 - 1/2  |  2 - 2  |    | T6492,T8146,LS |         |
