NIST Atomic Spectra Database Lines Data
Mn : 2758 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 27000 

Query NIST Bibliographic Databases for 
Mn (new window) 
Mn Energy Levels  
Mn Line Wavelengths and Classification  
Mn Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |             Ei           Ek              |                Configurations                  |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)             |                                                |                          |             |         |    |        Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                          |                                                |                          |             |         |    |             |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Mn XXIV   |                   |        0.19502    |       |           |      |   [6180.4408]      -    [12538.03]       |                 1s.2p - 2p2                    |         1P* - 3P         |    1 - 0    |  3 - 1  |    |             |  L11926  |
Mn XXIV   |                   |        0.19515    |       | 3.7e+13   | D    |   [6150.571]       -    [12503.93]       |                 1s.2p - 2s2                    |         3P* - 1S         |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Mn XXIV   |                   |        0.19607    |       | 5.7e+13   | D    |   [6180.4408]      -    [12503.93]       |                 1s.2p - 2s2                    |         1P* - 1S         |    1 - 0    |  3 - 1  |    |       T3506 |  L11926  |
Mn XXIV   |                   |        0.20062    |       | 3.93e+14  | B    |       0.00         -     [6180.4408]     |                   1s2 - 1s.2p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3585 |          |
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXIII  |                   |        0.20087    |       |           |      |      46.4512       -     [6218.68]       |                1s2.2p - 1s.(2S).2p2.(1S)       |         2P* - 2S         |  1/2 - 1/2  |  2 - 2  |    |             |  L11926  |
Mn XXIV   |                   |        0.20118    |       | 4.82e+09  | B    |       0.00         -     [6162.8983]     |                   1s2 - 1s.2p                  |         1S  - 3P*        |    0 - 2    |  1 - 5  | M2 |       T4731 |          |
Mn XXIII  |                   |        0.20127    |       |           |      |       0.00         -     [6160.03]       |                1s2.2s - 1s.(2S).2s.2p.(1P*)    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
Mn XXIII  |                   |        0.20131    |       |           |      |      59.9160       -     [6218.68]       |                1s2.2p - 1s.(2S).2p2.(1S)       |         2P* - 2S         |  3/2 - 1/2  |  4 - 2  |    |             |  L11926  |
Mn XXIII  |                   |        0.20136    |       |           |      |       0.00         -     [6157.30]       |                1s2.2s - 1s.(2S).2s.2p.(1P*)    |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |             |  L11926  |
          |                   |                   |       |           |      |                                          |                                                |                          |             |         |    |             |          |
Mn XXIII  |                   |        0.20151    |       |           |      |      46.4512       -     [6199.33]       |                1s2.2p - 1s.(2S).2p2.(3P)       |         2P* - 2P         |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
Mn XXIV   |                   |        0.20158    |       | 3.25e+13  | B    |       0.00         -     [6150.571]      |                   1s2 - 1s.2p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |       T3585 |          |
Mn XXIII  |                   |        0.20180    |       |           |      |       0.00         -     [6143.91]       |                1s2.2s - 1s.(2S).2s.2p.(3P*)    |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
