NIST Atomic Spectra Database Lines Data
Al : 4919 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 100000 

Query NIST Bibliographic Databases for 
Al (new window) 
Al Energy Levels  
Al Line Wavelengths and Classification  
Al Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |    Rel. |    Aki    | Acc. |               Ei           Ek                |                Configurations                  |        Terms       |   Ji   Jk   | gi   gk |Type|                          TP  |             Line  |
          |          Wavelength |          Wavelength |    Int. |    s^-1   |      |              (eV)         (eV)               |                                                |                    |             |         |    |                         Ref. |             Ref.  |
          |           Vac (nm)  |           Vac (nm)  |    (?)  |           |      |                                              |                                                |                    |             |         |    |                              |                   |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                     |         |           |      |                                              |                                                |                    |             |         |    |                              |                   |
Al XII    |          0.61010    |          0.61028    |     35g | 9.16e+11  | A+   |       0.00           -    [2031.5886]        |                   1s2 - 1s.6p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                        T5072 |          L2560c7  |
Al XII    |          0.61750    |          0.61755    |     50g | 1.59e+12  | A+   |       0.00           -    [2007.6729]        |                   1s2 - 1s.5p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                        T5072 |          L2560c7  |
Al XII    |                     |          0.61773    |       g |           |      |       0.00           -    [2007.0931]        |                   1s2 - 1s.5p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                              |                   |
Al XII    |          0.63142    |          0.63139    |    100g | 3.13e+12  | A+   |       0.00           -    [1963.6700]        |                   1s2 - 1s.4p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                        T5072 |          L7418c8  |
Al XII    |                     |          0.63176    |       g |           |      |       0.00           -    [1962.5238]        |                   1s2 - 1s.4p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                              |                   |
          |                     |                     |         |           |      |                                              |                                                |                    |             |         |    |                              |                   |
Al XII    |          0.66351    |          0.66348    |    400g | 7.61e+12  | A+   |       0.00           -    [1868.7072]        |                   1s2 - 1s.3p                  |      1S  - 1P*     |    0 - 1    |  1 - 3  |    |                        T5072 |          L7418c8  |
Al XII    |          0.66449    |          0.66447    |     20g |           |      |       0.00           -    [1865.9167]        |                   1s2 - 1s.3p                  |      1S  - 3P*     |    0 - 1    |  1 - 3  |    |                              |          L4110c7  |
Al XI     |                     |          0.67435    |     3g* |           |      |       0.00           -     1838.574          |                1s2.2s - 1s.2s.(1S).3p          |      2S  - 2P*     |  1/2 - 1/2  |  2 - 2  |    |                              |          L4466c7  |
