NIST Atomic Spectra Database Lines Data
Cu : 1442 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 10000 

Query NIST Bibliographic Databases for 
Cu (new window) 
Cu Energy Levels  
Cu Line Wavelengths and Classification  
Cu Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |   Rel. |    Aki    | Acc. |             Ei           Ek              |           Configurations                      |           Terms          |  Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |        Wavelength |        Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |                                               |                          |            |         |    |   Ref. |    Ref.  |
          |         Vac (nm)  |         Vac (nm)  |   (?)  |           |      |                                          |                                               |                          |            |         |    |        |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cu XXVIII |                   |        0.14366    |        |           |      |   [8311.3273]      -    [16941.70]       |            1s.2s - 2s.2p                      |         3S  - 3P*        |   1 - 1    |  3 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.14371    |        |           |      |   [8371.3096]      -    [16998.98]       |            1s.2p - 2p2                        |         3P* - 3P         |   2 - 2    |  5 - 5  |    |        |  L11926  |
Cu XXVIII |                   |        0.14372    |        |           |      |   [8346.9815]      -    [16973.93]       |            1s.2p - 2p2                        |         3P* - 3P         |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXVIII |                   |        0.14377    |        |           |      |   [8311.3273]      -    [16935.12]       |            1s.2s - 2s.2p                      |         3S  - 3P*        |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXVIII |                   |        0.14384    |        |           |      |   [8371.3096]      -    [16991.04]       |            1s.2p - 2p2                        |         3P* - 3P         |   2 - 1    |  5 - 3  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.14403    |        |           |      |   [8391.0120]      -    [16998.98]       |            1s.2p - 2p2                        |         1P* - 3P         |   1 - 2    |  3 - 5  |    |        |  L11926  |
Cu XXVIII |                   |        0.14417    |        |           |      |   [8391.0120]      -    [16991.04]       |            1s.2p - 2p2                        |         1P* - 3P         |   1 - 1    |  3 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.14426    |        |           |      |   [8347.2319]      -    [16941.70]       |            1s.2s - 2s.2p                      |         1S  - 3P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVIII |                   |        0.14444    |        |           |      |   [8346.9815]      -    [16930.91]       |            1s.2p - 2s2                        |         3P* - 1S         |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXVIII |                   |        0.14445    |        |           |      |   [8391.0120]      -    [16973.93]       |            1s.2p - 2p2                        |         1P* - 3P         |   1 - 0    |  3 - 1  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.14518    |        |           |      |   [8391.0120]      -    [16930.91]       |            1s.2p - 2s2                        |         1P* - 1S         |   1 - 0    |  3 - 1  |    |        |  L11926  |
Cu XXVIII |                   |        0.1477583  |        |           |      |       0.00         -     [8391.0120]     |              1s2 - 1s.2p                      |         1S  - 1P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVII  |                   |        0.14779    |        |           |      |      55.1557       -     [8444.44]       |           1s2.2p - 1s.(2S).2p2.(1S)           |         2P* - 2S         | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Cu XXVIII |                   |        0.1481061  |        |           |      |       0.00         -     [8371.3096]     |              1s2 - 1s.2p                      |         1S  - 3P*        |   0 - 2    |  1 - 5  |    |        |  L11926  |
Cu XXVII  |                   |        0.14811    |        |           |      |       0.00         -     [8371.04]       |           1s2.2s - 1s.(2S).2s.2p.(3P*)        |         2S  - 2P*        | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVII  |                   |        0.14815    |        |           |      |      55.1557       -     [8424.11]       |           1s2.2p - 1s.(2S).2p2.(3P)           |         2P* - 2P         | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVII  |                   |        0.14817    |        |           |      |       0.00         -     [8367.7]        |           1s2.2s - 1s.(2S).2s.2p.(1P*)        |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVII  |                   |        0.14824    |        |           |      |      80.7648       -     [8444.44]       |           1s2.2p - 1s.(2S).2p2.(1S)           |         2P* - 2S         | 3/2 - 1/2  |  4 - 2  |    |        |  L11926  |
Cu XXVII  |                   |        0.14825    |        |           |      |       0.00         -     [8363.23]       |           1s2.2s - 1s.(2S).2s.2p.(1P*)        |         2S  - 2P*        | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Cu XXVII  |                   |        0.14853    |        |           |      |       0.00         -     [8347.36]       |           1s2.2s - 1s.(2S).2s.2p.(3P*)        |         2S  - 2P*        | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVIII |                   |        0.1485378  |        |           |      |       0.00         -     [8346.9815]     |              1s2 - 1s.2p                      |         1S  - 3P*        |   0 - 1    |  1 - 3  |    |        |  L11926  |
Cu XXVII  |                   |        0.14860    |        |           |      |      80.7648       -     [8424.11]       |           1s2.2p - 1s.(2S).2p2.(3P)           |         2P* - 2P         | 3/2 - 3/2  |  4 - 4  |    |        |  L11926  |
Cu XXVII  |                   |        0.14865    |        |           |      |      55.1557       -     [8395.71]       |           1s2.2p - 1s.(2S).2p2.(1D)           |         2P* - 2D         | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVII  |                   |        0.14866    |        |           |      |      55.1557       -     [8395.22]       |           1s2.2p - 1s.(2S).2p2.(3P)           |         2P* - 2P         | 1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
Cu XXVII  |                   |        0.14889    |        |           |      |      80.7648       -     [8407.86]       |           1s2.2p - 1s.(2S).2p2.(1D)           |         2P* - 2D         | 3/2 - 5/2  |  4 - 6  |    |        |  L11926  |
          |                   |                   |        |           |      |                                          |                                               |                          |            |         |    |        |          |
Cu XXVII  |                   |        0.14911    |        |           |      |      80.7648       -     [8395.71]       |           1s2.2p - 1s.(2S).2p2.(1D)           |         2P* - 2D         | 3/2 - 3/2  |  4 - 4  |    |        |  L11926  |
Cu XXVII  |                   |        0.14912    |        |           |      |      80.7648       -     [8395.22]       |           1s2.2p - 1s.(2S).2p2.(3P)           |         2P* - 2P         | 3/2 - 1/2  |  4 - 2  |    |        |  L11926  |
Cu XXVII  |                   |        0.14914    |        |           |      |      55.1557       -     [8368.68]       |           1s2.2p - 1s.(2S).2p2.(3P)           |         2P* - 4P         | 1/2 - 3/2  |  2 - 4  |    |        |  L11926  |
Cu XXVIII |                   |        0.1491750  |        |           |      |       0.00         -     [8311.3273]     |              1s2 - 1s.2s                      |         1S  - 3S         |   0 - 1    |  1 - 3  | M1 |        |  L11926  |
