NIST Atomic Spectra Database Lines Data
B : 2089 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 21]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 32000 

Query NIST Bibliographic Databases for 
B (new window) 
B Energy Levels  
B Line Wavelengths and Classification  
B Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |   Rel. |     Aki    | Acc. |                 Ei           Ek                  |              Configurations                   |      Terms     |              Ji   Jk               | gi   gk |Type|      TP  |          Line  |
          |            Wavelength |            Wavelength |   Int. |     s^-1   |      |                (eV)         (eV)                 |                                               |                |                                    |         |    |     Ref. |          Ref.  |
          |             Vac (nm)  |             Vac (nm)  |   (?)  |            |      |                                                  |                                               |                |                                    |         |    |          |                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
B IV      |          4.8437       |          4.84355      |      6 |            |      |      0.00              -    [255.9781]           |                 1s2 - 1s.8p                   |    1S  - 1P*   |               0 - 1                |  1 - 3  |    |          |  L5145,L12548  |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B V       |          4.859        |          4.85855039   |  3000* |  3.9216e+11| AA   |      0.000000          -    (255.18761902)       |                  1s - 2p                      |    2S  - 2P*   |             1/2 - 3/2              |  2 - 4  |    |    T8637 |         L3762  |
B V       |          4.859        |          4.85909094   |  3000* |  3.9204e+11| AA   |      0.000000          -    (255.15923032)       |                  1s - 2p                      |    2S  - 2P*   |             1/2 - 1/2              |  2 - 2  |    |    T8637 |                |
B IV      |                       |          4.86325      |      m |            |      |      0.00              -    [254.9409]           |                 1s2 - 1s.7p                   |    1S  - 1P*   |               0 - 1                |  1 - 3  |    |          |        L12548  |
B IV      |          4.8718       |          4.8706       |     5* |            |      |    235.1586            -     489.713             |               1s.3d - 2p.3d                   |    3D  - 3D*   |               1 - 1,2,3            |  3 - 15 |    |          |         L4172  |
B IV      |          4.8718       |          4.8706       |     5* |            |      |    235.1586            -     489.713             |               1s.3d - 2p.3d                   |    3D  - 3D*   |               2 - 1,2,3            |  5 - 15 |    |          |         L4172  |
          |                       |                       |        |            |      |                                                  |                                               |                |                                    |         |    |          |                |
B IV      |          4.8718       |          4.8706       |     5* |            |      |    235.1586            -     489.713             |               1s.3d - 2p.3d                   |    3D  - 3D*   |               3 - 1,2,3            |  7 - 15 |    |          |         L4172  |
B IV      |          4.8770       |          4.8767       |     5* |            |      |    234.6057            -     488.845             |               1s.3p - 2p.3p                   |    3P* - 3P    |               0 - 0,1,2            |  1 - 9  |    |          |         L4172  |
B IV      |          4.8770       |          4.8767       |     5* |            |      |    234.6057            -     488.845             |               1s.3p - 2p.3p                   |    3P* - 3P    |               1 - 0,1,2            |  3 - 9  |    |          |         L4172  |
B IV      |          4.8770       |          4.8767       |     5* |            |      |    234.6057            -     488.845             |               1s.3p - 2p.3p                   |    3P* - 3P    |               2 - 0,1,2            |  5 - 9  |    |          |         L4172  |
