NIST Atomic Spectra Database Lines Data
P : 754 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1700 

Query NIST Bibliographic Databases for 
P (new window) 
P Energy Levels  
P Line Wavelengths and Classification  
P Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |              Ei           Ek              |          Configurations           |    Terms   |  Ji   Jk  | gi   gk |Type|             TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |                                   |            |           |         |    |            Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                           |                                   |            |           |         |    |                 |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
P X       |                   |          20.3835  |       | 5.0e+09   | E    |      0.00           -      60.8257        |         2s2.2p2 - 2s.2p3          |  3P  - 3S* |   0 - 1   |  1 - 3  |    |          T833LS |         |
P X       |                   |          20.5381  |       | 1.50e+10  | D+   |      0.4577         -      60.8257        |         2s2.2p2 - 2s.2p3          |  3P  - 3S* |   1 - 1   |  3 - 3  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P X       |                   |          20.734   |       | 2.80e+10  | D    |      7.4006         -      67.1982        |         2s2.2p2 - 2s.2p3          |  1D  - 1P* |   2 - 1   |  5 - 3  |    |            T833 |         |
P X       |                   |          20.7664  |       | 2.40e+10  | D+   |      1.121          -      60.8257        |         2s2.2p2 - 2s.2p3          |  3P  - 3S* |   2 - 1   |  5 - 3  |    |          T833LS |         |
P IX      |                   |          21.1160  |       | 9.0e+09   | D    |     14.3957         -      73.1115        |         2s2.2p3 - 2s.2p4          |  2P* - 2P  | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P IX      |                   |          21.1625  |       | 4.5e+09   | D    |     14.5246         -      73.1115        |         2s2.2p3 - 2s.2p4          |  2P* - 2P  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P IX      |                   |          21.3990  |       | 2.2e+09   | D    |     14.3957         -      72.3349        |         2s2.2p3 - 2s.2p4          |  2P* - 2P  | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IX      |                   |          21.4468  |       | 1.10e+10  | D    |     14.5246         -      72.3349        |         2s2.2p3 - 2s.2p4          |  2P* - 2P  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P VII     |                   |          21.9913  |       | 2.90e+10  | D    |      0.00           -      56.3787        |         2s2.2p5 - 2s.2p6          |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P VIII    |                   |          22.2363  |       | 4.6e+09   | D    |     13.7357         -      69.4933        |         2s2.2p4 - 2s.2p5          |  1S  - 1P* |   0 - 1   |  1 - 3  |    |            T833 |         |
P VII     |                   |          22.3488  |       | 1.40e+10  | D    |      0.9017         -      56.3787        |         2s2.2p5 - 2s.2p6          |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P IX      |                   |          22.7081  |       | 8.6e+09   | D    |     14.3957         -      68.9947        |         2s2.2p3 - 2s.2p4          |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IX      |                   |          22.7619  |       | 1.80e+10  | D    |     14.5246         -      68.9947        |         2s2.2p3 - 2s.2p4          |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P IX      |                   |          22.8240  |       | 2.10e+10  | D    |     58.9296         -     113.251         |          2s.2p4 - 2p5             |  2D  - 2P* | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P XI      |                   |          23.1396  |       | 3.4e+09   | E    |      0.00           -      53.5810        |          2s2.2p - 2s.2p2          |  2P* - 2P  | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
P IX      |                   |          23.2566  |       | 2.0e+09   | E    |     58.9296         -     112.241         |          2s.2p4 - 2p5             |  2D  - 2P* | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P IX      |                   |          23.2579  |       | 1.80e+10  | D    |     58.9325         -     112.241         |          2s.2p4 - 2p5             |  2D  - 2P* | 5/2 - 3/2 |  6 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
