NIST Atomic Spectra Database Lines Data
Kr : 4609 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 20000 

Query NIST Bibliographic Databases for 
Kr (new window) 
Kr Energy Levels  
Kr Line Wavelengths and Classification  
Kr Transition Probabilities  

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Configurations                      |           Terms          |   Ji   Jk   | gi   gk |Type|    TP  |     Line  |
          |          Wavelength |          Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |                                                    |                          |             |         |    |   Ref. |     Ref.  |
          |           Vac (nm)  |           Vac (nm)  |   (?)  |           |      |                                               |                                                    |                          |             |         |    |        |           |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Kr XXXV   |                     |         0.092623    |        |           |      |   [13090.9216]        -    [26476.58]         |                 1s.2p - 2p2                        |         3P* - 1D         |    2 - 2    |  5 - 5  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092670    |        |           |      |   [12979.3061]        -    [26359.29]         |                 1s.2s - 2s.2p                      |         3S  - 3P*        |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092697    |        |           |      |   [13090.9216]        -    [26465.42]         |                 1s.2p - 2p2                        |         3P* - 3P         |    2 - 1    |  5 - 3  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092787    |        |           |      |   [13114.5059]        -    [26476.58]         |                 1s.2p - 2p2                        |         1P* - 1D         |    1 - 2    |  3 - 5  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.092861    |        |           |      |   [13114.5059]        -    [26465.42]         |                 1s.2p - 2p2                        |         1P* - 3P         |    1 - 1    |  3 - 3  |    |        |  L7187c3  |
          |                     |                     |        |           |      |                                               |                                                    |                          |             |         |    |        |           |
Kr XXXV   |                     |         0.092919    |        |           |      |   [13026.585]         -    [26370.57]         |                 1s.2s - 2s.2p                      |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.093042    |        |           |      |   [13026.1671]        -    [26354.1]          |                 1s.2p - 2s2                        |         3P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.093215    |        |           |      |   [13114.5059]        -    [26414.71]         |                 1s.2p - 2p2                        |         1P* - 3P         |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
Kr XXXV   |                     |         0.093642    |        |           |      |   [13114.5059]        -    [26354.1]          |                 1s.2p - 2s2                        |         1P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L7187c3  |
