NIST Atomic Spectra Database Lines Data
Mo : 3026 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 26]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 300000000 

Query NIST Bibliographic Databases for 
Mo (new window) 
Mo Energy Levels  
Mo Line Wavelengths and Classification  
Mo Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |               Ei           Ek               |                Configurations                  |          Terms          |   Ji   Jk   | gi   gk |Type|    TP  |    Line  |
          |         Wavelength |         Wavelength |      Int. |    s^-1   |      |              (eV)         (eV)              |                                                |                         |             |         |    |   Ref. |    Ref.  |
          |          Vac (nm)  |          Vac (nm)  |      (?)  |           |      |                                             |                                                |                         |             |         |    |        |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Mo XLI    |                    |        0.067605    |           |           |      |   [18035.4892]       -    [36374.98]        |                 1s.2p - 2p2                    |        3P* - 1D         |    2 - 2    |  5 - 5  |    |        |  L11926  |
Mo XLI    |                    |        0.067628    |           |           |      |   [17850.2568]       -    [36183.42]        |                 1s.2s - 2s.2p                  |        3S  - 3P*        |    1 - 0    |  3 - 1  |    |        |  L11926  |
Mo XLI    |                    |        0.067657    |           |           |      |   [18035.4892]       -    [36360.97]        |                 1s.2p - 2p2                    |        3P* - 3P         |    2 - 1    |  5 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.067706    |           |           |      |   [18062.736]        -    [36374.98]        |                 1s.2p - 2p2                    |        1P* - 1D         |    1 - 2    |  3 - 5  |    |        |  L11926  |
Mo XLI    |                    |        0.067757    |           |           |      |   [18062.736]        -    [36360.97]        |                 1s.2p - 2p2                    |        1P* - 3P         |    1 - 1    |  3 - 3  |    |        |  L11926  |
          |                    |                    |           |           |      |                                             |                                                |                         |             |         |    |        |          |
Mo XLI    |                    |        0.067786    |           |           |      |   [17908.438]        -    [36198.92]        |                 1s.2s - 2s.2p                  |        1S  - 3P*        |    0 - 1    |  1 - 3  |    |        |  L11926  |
Mo XLI    |                    |        0.067867    |           |           |      |   [17907.0032]       -    [36175.61]        |                 1s.2p - 2s2                    |        3P* - 1S         |    1 - 0    |  3 - 1  |    |        |  L11926  |
Mo XLI    |                    |        0.068154    |           |           |      |   [18062.736]        -    [36254.47]        |                 1s.2p - 2p2                    |        1P* - 3P         |    1 - 0    |  3 - 1  |    |        |  L11926  |
Mo XL     |                    |        0.068350    |           |           |      |       86.1021        -    [18225.80]        |                1s2.2p - 1s.(2S).2p2.(1S)       |        2P* - 2S         |  1/2 - 1/2  |  2 - 2  |    |        |  L11926  |
