NIST Atomic Spectra Database Lines Data
K : 1978 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 8000 

Query NIST Bibliographic Databases for 
K (new window) 
K Energy Levels  
K Line Wavelengths and Classification  
K Transition Probabilities  

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |               Ritz    |  Rel. |    Aki    | Acc. |                  Ei           Ek                  |                Configurations                 |        Terms          |  Ji   Jk          | gi   gk |   Type|            TP  |         Line  |
          |            Wavelength |            Wavelength |  Int. |    s^-1   |      |                 (eV)         (eV)                 |                                               |                       |                   |         |       |           Ref. |         Ref.  |
          |             Vac (nm)  |             Vac (nm)  |  (?)  |           |      |                                                   |                                               |                       |                   |         |       |                |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
K XVII    |           0.35360     |           0.35363     |     * |           |      |     593.252             -     4099.29             |                1s2.3p - 1s.2p.(1P*).3p        |      2P* - 2P         | 3/2 - 1/2,3/2     |  4 - 6  |       |                |      L2560c7  |
K XVII    |           0.35414     |           0.35418     |       |           |      |      33.910             -     3534.54             |                1s2.2p - 1s.(2S).2p2.(1S)      |      2P* - 2S         | 1/2 - 1/2         |  2 - 2  |       |                |      L2560c7  |
K XVII    |           0.35459     |           0.35459     |       |           |      |      37.9416            -     3534.54             |                1s2.2p - 1s.(2S).2p2.(1S)      |      2P* - 2S         | 3/2 - 1/2         |  4 - 2  |       |                |      L2560c7  |
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XVIII   |           0.354595    |           0.35459107  |       | 4.91e+08  |      |       0.00              -    (3496.540)           |                   1s2 - 1s.2p                 |      1S  - 3P*        |   0 - 2           |  1 - 5  |       |          T6910 |        L6608  |
K XVII    |           0.35487     |           0.35487     |   13p |           |      |       0.00              -     3493.75             |                1s2.2s - 1s.(2S).2s.2p.(1P*)   |      2S  - 2P*        | 1/2 - 1/2,3/2     |  2 - 6  |       |                |      L2560c7  |
K XVIII   |                       |           0.35485069  |       | 5.91e+08  |      |       0.00              -    (3493.9820)          |                   1s2 - 1s.2s                 |      1S  - 1S         |   0   0           |  1 - 1  | 2P    |          T5355 |               |
K XVIII   |           0.354950    |           0.35494839  |       | 2.98e+12  |      |       0.00              -    (3493.0202)          |                   1s2 - 1s.2p                 |      1S  - 3P*        |   0 - 1           |  1 - 3  |       |          T6910 |        L6608  |
K XVII    |           0.35617     |           0.35616     |     * |           |      |      37.9416            -     3519.04             |                1s2.2p - 1s.(2S).2p2.(3P)      |      2P* - 2P         | 3/2 - 1/2,3/2     |  4 - 6  |       |                |      L2560c7  |
          |                       |                       |       |           |      |                                                   |                                               |                       |                   |         |       |                |               |
K XVII    |           0.35617     |           0.35616     |     * |           |      |       0.00              -     3481.10             |                1s2.2s - 1s.(2S).2s.2p.(3P*)   |      2S  - 2P*        | 1/2 - 1/2,3/2     |  2 - 6  |       |                |      L2560c7  |
K XVII    |           0.35660     |           0.35660     |       |           |      |      33.910             -     3510.74             |                1s2.2p - 1s.(2S).2p2.(1D)      |      2P* - 2D         | 1/2 - 3/2         |  2 - 4  |       |                |      L2560c7  |
K XVII    |           0.35698     |           0.35698     |       |           |      |      37.9416            -     3511.11             |                1s2.2p - 1s.(2S).2p2.(1D)      |      2P* - 2D         | 3/2 - 5/2         |  4 - 6  |       |                |      L2560c7  |
K XVIII   |           0.357040    |           0.35706763  |       | 8.34e+06  |      |       0.00              -    (3472.2887)          |                   1s2 - 1s.2s                 |      1S  - 3S         |   0 - 1           |  1 - 3  | M1    |          T6910 |        L6608  |
