NIST Atomic Spectra Database Lines Data
Cr : 3165 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 20000 

Query NIST Bibliographic Databases for 
Cr (new window) 
Cr Energy Levels  
Cr Line Wavelengths and Classification  
Cr Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |        Observed  |          Ritz    |    Rel. |    Aki    | Acc. |             Ei           Ek             |                Configurations                  |           Terms          |   Ji   Jk   | gi   gk |Type|                     TP  |          Line  |
          |       Wavelength |       Wavelength |    Int. |    s^-1   |      |            (eV)         (eV)            |                                                |                          |             |         |    |                    Ref. |          Ref.  |
          |        Vac (nm)  |        Vac (nm)  |    (?)  |           |      |                                         |                                                |                          |             |         |    |                         |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cr XXIII  |                  |       0.21069    |         | 2.0e+14   | C    |   [5626.9121]      -   [11511.7]        |                 1s.2s - 2s.2p                  |         3S  - 3P*        |    1 - 1    |  3 - 3  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21074    |         | 2.3e+14   | C    |   [5665.0633]      -   [11548.3]        |                 1s.2p - 2p2                    |         3P* - 3P         |    2 - 2    |  5 - 5  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21078    |         | 3.3e+14   | C    |   [5682.0504]      -   [11564.1]        |                 1s.2p - 2p2                    |         1P* - 1D         |    1 - 2    |  3 - 5  |    |                   T3506 |        L11926  |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIII  |                  |       0.21080    |         | 3.8e+14   | C    |   [5654.8396]      -   [11536.4]        |                 1s.2p - 2p2                    |         3P* - 3P         |    1 - 0    |  3 - 1  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21081    |         | 2.0e+14   | C    |   [5626.9121]      -   [11508]          |                 1s.2s - 2s.2p                  |         3S  - 3P*        |    1 - 0    |  3 - 1  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21093    |         | 1.7e+14   | C    |   [5665.0633]      -   [11540]          |                 1s.2p - 2p2                    |         3P* - 3P         |    2 - 1    |  5 - 3  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21135    |         | 5.9e+13   | D    |   [5682.0504]      -   [11548.3]        |                 1s.2p - 2p2                    |         1P* - 3P         |    1 - 2    |  3 - 5  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21155    |         |           |      |   [5682.0504]      -   [11540]          |                 1s.2p - 2p2                    |         1P* - 3P         |    1 - 1    |  3 - 3  |    |                         |        L11926  |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXIII  |                  |       0.21171    |         |           |      |   [5655.4657]      -   [11511.7]        |                 1s.2s - 2s.2p                  |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |                         |        L11926  |
Cr XXIII  |                  |       0.21178    |         |           |      |   [5682.0504]      -   [11536.4]        |                 1s.2p - 2p2                    |         1P* - 3P         |    1 - 0    |  3 - 1  |    |                         |        L11926  |
Cr XXIII  |                  |       0.21197    |         | 2.7e+13   | D    |   [5654.8396]      -   [11504.0]        |                 1s.2p - 2s2                    |         3P* - 1S         |    1 - 0    |  3 - 1  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21296    |         | 5.1e+13   | D    |   [5682.0504]      -   [11504.0]        |                 1s.2p - 2s2                    |         1P* - 1S         |    1 - 0    |  3 - 1  |    |                   T3506 |        L11926  |
Cr XXIII  |                  |       0.21821    |         | 3.37e+14  | B    |       0.00         -    [5682.0504]     |                   1s2 - 1s.2p                  |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |                   T3585 |                |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXII   |       0.21834    |       0.2184*    |         |           |      |    [987.6977]      -     6664.77        |                1s2.3d - 1s.2p.3d               |         2D  - 2D*        |  3/2 - 5/2  |  4 - 6  |    |                         |        L11926  |
Cr XXII   |       0.21834    |       0.2184*    |         |           |      |    [988.749]       -     6666.88        |                1s2.3d - 1s.2p.3d               |         2D  - 2F*        |  5/2 - 7/2  |  6 - 8  |    |                         |        L11926  |
Cr XXII   |       0.21834    |       0.2184*    |         |           |      |   [1306.6917]      -     6984.53        |                1s2.4p - 1s.2p.4p               |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |                         |        L11926  |
Cr XXII   |       0.21846    |       0.2183*    |         |           |      |    [967.3978]      -     6645.68        |                1s2.3s - 1s.2p.3s               |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |                         |        L11926  |
Cr XXII   |       0.21846    |       0.2183*    |         |           |      |    [967.3978]      -     6645.68        |                1s2.3s - 1s.2p.3s               |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |                         |        L11926  |
          |                  |                  |         |           |      |                                         |                                                |                          |             |         |    |                         |                |
Cr XXII   |       0.21846    |       0.2185*    |         |           |      |    [979.6834]      -     6654.36        |                1s2.3p - 1s.2p.3p               |         2P* - 2D         |  1/2 - 3/2  |  2 - 4  |    |                         |        L11926  |
