NIST Atomic Spectra Database Lines Data
Ni : 2659 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 8200 

Query NIST Bibliographic Databases for 
Ni (new window) 
Ni Energy Levels  
Ni Line Wavelengths and Classification  
Ni Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |             Ritz    |  Rel. |    Aki    | Acc. |               Ei           Ek                |                Configurations                 |           Terms          |   Ji   Jk   | gi   gk |Type|         TP  |    Line  |
          |          Wavelength |          Wavelength |  Int. |    s^-1   |      |              (eV)         (eV)               |                                               |                          |             |         |    |        Ref. |    Ref.  |
          |           Vac (nm)  |           Vac (nm)  |  (?)  |           |      |                                              |                                               |                          |             |         |    |             |          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ni XXVII  |                     |          0.15404    |       | 1.7e+14   | C    |   [7765.6952]        -    [15814.68]         |                 1s.2p - 2p2                   |         3P* - 3P         |    1 - 1    |  3 - 3  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15415    |       | 5.5e+14   | C    |   [7805.5847]        -    [15848.53]         |                 1s.2p - 2p2                   |         1P* - 1D         |    1 - 2    |  3 - 5  |    |       T7228 |  L11926  |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.15425    |       | 3.6e+14   | C    |   [7731.6132]        -    [15769.5]          |                 1s.2s - 2s.2p                 |         3S  - 3P*        |    1 - 1    |  3 - 3  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15429    |       | 3.5e+14   | C    |   [7786.4167]        -    [15822.12]         |                 1s.2p - 2p2                   |         3P* - 3P         |    2 - 2    |  5 - 5  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15432    |       | 6.9e+14   | C    |   [7765.6952]        -    [15800.17]         |                 1s.2p - 2p2                   |         3P* - 3P         |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15436    |       | 3.8e+14   | C    |   [7731.6132]        -    [15763.72]         |                 1s.2s - 2s.2p                 |         3S  - 3P*        |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15443    |       | 3.2e+14   | C    |   [7786.4167]        -    [15814.68]         |                 1s.2p - 2p2                   |         3P* - 3P         |    2 - 1    |  5 - 3  |    |       T7228 |  L11926  |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.15466    |       | 1.6e+14   | C    |   [7805.5847]        -    [15822.12]         |                 1s.2p - 2p2                   |         1P* - 3P         |    1 - 2    |  3 - 5  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15480    |       | 2.1e+13   | D    |   [7805.5847]        -    [15814.68]         |                 1s.2p - 2p2                   |         1P* - 3P         |    1 - 1    |  3 - 3  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15491    |       | 2.0e+13   | D    |   [7766.0015]        -    [15769.5]          |                 1s.2s - 2s.2p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15509    |       | 1.2e+13   | D    |   [7805.5847]        -    [15800.17]         |                 1s.2p - 2p2                   |         1P* - 3P         |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15510    |       | 8.2e+13   | D    |   [7765.6952]        -    [15759.75]         |                 1s.2p - 2s2                   |         3P* - 1S         |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVII  |                     |          0.15587    |       | 6.5e+13   | D    |   [7805.5847]        -    [15759.75]         |                 1s.2p - 2s2                   |         1P* - 1S         |    1 - 0    |  3 - 1  |    |       T7228 |  L11926  |
Ni XXVII  |                     |          0.15885    |       | 6.02e+14  | B    |       0.00           -     [7805.5847]       |                   1s2 - 1s.2p                 |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |       T3585 |          |
Ni XXVI   |                     |          0.15891    |       |           |      |      52.9503         -     [7854.89]         |                1s2.2p - 1s.(2S).2p2.(1S)      |         2P* - 2S         |  1/2 - 1/2  |  2 - 2  |    |             |  L11926  |
Ni XXVII  |                     |          0.15923    |       | 1.22e+09  | B    |       0.00           -     [7786.4167]       |                   1s2 - 1s.2p                 |         1S  - 3P*        |    0 - 2    |  1 - 5  | M2 |       T4731 |          |
Ni XXVI   |                     |          0.1593     |       | 3.4e+14   | C    |      74.9574         -     [7854.89]         |                1s2.2p - 1s.(2S).2p2.(1S)      |         2P* - 2S         |  3/2 - 1/2  |  4 - 2  |    |       T4731 |          |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVI   |                     |          0.15931    |       |           |      |       0.00           -     [7782.61]         |                1s2.2s - 1s.(2S).2s.2p.(1P*)   |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
Ni XXVI   |                     |          0.15932    |       |           |      |      52.9503         -     [7834.81]         |                1s2.2p - 1s.(2S).2p2.(3P)      |         2P* - 2P         |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
Ni XXVI   |                     |          0.15935    |       | 4.0e+14   | C    |       0.00           -     [7779.14]         |                1s2.2s - 1s.(2S).2s.2p.(1P*)   |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |       T4731 |          |
Ni XXVII  |                     |          0.15965    |       | 7.70e+13  | B    |       0.00           -     [7765.6952]       |                   1s2 - 1s.2p                 |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |       T3585 |          |
Ni XXVI   |                     |          0.15970    |       |           |      |       0.00           -     [7763.52]         |                1s2.2s - 1s.(2S).2s.2p.(3P*)   |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |             |  L11926  |
          |                     |                     |       |           |      |                                              |                                               |                          |             |         |    |             |          |
Ni XXVI   |                     |          0.15973    |       | 8.1e+14   | C    |      74.9574         -     [7834.81]         |                1s2.2p - 1s.(2S).2p2.(3P)      |         2P* - 2P         |  3/2 - 3/2  |  4 - 4  |    |       T4731 |          |
